type,x,f1,f2
final,0.000283,0.000000,3.998868
final,1.999649,3.998595,0.000000
final,0.541155,0.292849,2.128228
final,1.677809,2.815044,0.103807
final,0.495896,0.245913,2.262329
final,0.039243,0.001540,3.844569
final,0.081540,0.006649,3.680490
final,0.814495,0.663403,1.405421
final,0.317689,0.100927,2.830169
final,0.572088,0.327285,2.038933
final,1.538541,2.367109,0.212944
final,1.715436,2.942722,0.080976
final,1.895936,3.594575,0.010829
final,0.731368,0.534899,1.609428
final,0.432807,0.187322,2.456093
final,1.861735,3.466057,0.019117
final,1.060573,1.124815,0.882523
final,0.159236,0.025356,3.388414
final,0.669040,0.447615,1.771453
final,1.787490,3.195120,0.045161
final,1.831372,3.353923,0.028435
final,0.972798,0.946335,1.055144
final,1.648887,2.718828,0.123280
final,1.592479,2.535991,0.166073
final,0.016980,0.000288,3.932370
final,0.939524,0.882706,1.124609
final,1.413220,1.997192,0.344310
final,1.330445,1.770083,0.448304
final,0.286340,0.081991,2.936631
final,1.225817,1.502628,0.599359
final,0.228240,0.052093,3.139134
final,1.514235,2.292908,0.235967
final,1.766570,3.120770,0.054489
final,1.875585,3.517820,0.015479
final,0.206912,0.042813,3.215165
final,1.083233,1.173394,0.840462
final,0.133210,0.017745,3.484905
final,0.857206,0.734801,1.305979
final,0.451013,0.203412,2.399362
final,0.340899,0.116212,2.752615
final,0.699579,0.489410,1.691096
final,0.101442,0.010290,3.604522
final,0.701291,0.491809,1.686646
final,1.308568,1.712350,0.478078
final,0.476132,0.226701,2.322174
final,1.807137,3.265744,0.037196
final,1.284026,1.648723,0.512619
final,1.250018,1.562545,0.562473
final,1.177577,1.386687,0.676380
final,1.564709,2.448315,0.189478
final,0.881246,0.776595,1.251610
final,0.915936,0.838939,1.175195
final,0.393653,0.154963,2.580350
final,1.495603,2.236827,0.254417
final,0.378181,0.143021,2.630296
final,1.921943,3.693865,0.006093
final,0.658430,0.433530,1.799810
final,1.638361,2.684227,0.130783
final,0.406261,0.165048,2.540002
final,1.139498,1.298456,0.740463
final,1.476322,2.179525,0.274239
final,0.366087,0.134020,2.669672
final,1.563946,2.445926,0.190143
final,0.134586,0.018113,3.479768
final,1.269082,1.610570,0.534241
final,0.591161,0.349471,1.984829
final,0.465346,0.216547,2.355163
final,0.251814,0.063411,3.056153
final,1.368589,1.873036,0.398680
final,1.113415,1.239693,0.786033
final,0.242012,0.058570,3.090523
final,1.192132,1.421179,0.652650
final,1.724793,2.974912,0.075739
final,1.432257,2.051361,0.322332
final,0.194407,0.037794,3.260165
final,1.621956,2.630742,0.142917
final,1.395024,1.946093,0.365996
final,1.991757,3.967097,0.000068
final,1.382178,1.910415,0.381704
final,1.041653,1.085041,0.918429
final,0.641700,0.411779,1.844978
